station_name,longitude,latitude,metro_name,id
施岗,114.600916,30.706234,阳逻线,15
金台,114.619116,30.713671,阳逻线,16
光谷火车站,114.431755,30.486956,11号线东段,1
湖口,114.448734,30.487938,11号线东段,2
光谷同济医院,114.466409,30.485267,11号线东段,3
光谷生物园,114.481231,30.487610,11号线东段,4
光谷四路,114.492018,30.489155,11号线东段,5
光谷五路,114.502960,30.485103,11号线东段,6
光谷六路,114.512862,30.485028,11号线东段,7
豹澥,114.522905,30.488736,11号线东段,8
光谷七路,114.534098,30.488447,11号线东段,9
长岭山,114.563156,30.487628,11号线东段,10
未来一路,114.585145,30.484577,11号线东段,11
未来三路,114.605998,30.486450,11号线东段,12
左岭,114.620662,30.488119,11号线东段,13
